name,category,province,address,phone,website,rating,review_count,google_maps_url,type,priority
"Praktik Mandiri Psikolog Klinis-Riza Fatmi Hasani Marpaung S.Psi., M.Psi., Psikolog",Klinik Kesehatan Mental,Aceh,Jl. Iskandar Muda,,0852-2502-5422,,,"https://www.google.com/maps/place/Praktik+Mandiri+Psikolog+Klinis-Riza+Fatmi+Hasani+Marpaung+S.Psi.,+M.Psi.,+Psikolog/data=!4m7!3m6!1s0x3030a79aa417f873:0xbb0b7538e74399d8!8m2!3d3.468878!4d97.8249776!16s%2Fg%2F11k4rwnzg9!19sChIJc_gXpJqnMDAR2JlD5zh1C7s?authuser=0&hl=id&rclk=1",Psychologist,2
"Yulfa islaini,S.Psi,M.Psi Psikolog Klinis",Psikolog,Aceh,7389+68,,,,,"https://www.google.com/maps/place/Yulfa+islaini,S.Psi,M.Psi+Psikolog+Klinis/data=!4m7!3m6!1s0x30377300195ad9bd:0xd2cd73d673fbb5ec!8m2!3d4.2655857!4d98.0683627!16s%2Fg%2F11xcxzcwwh!19sChIJvdlaGQBzNzAR7LX7c9ZzzdI?authuser=0&hl=id&rclk=1",Psychologist,2
"Praktek Psikolog Langsa Dewina Ulfah Nasution, S.Psi.,M.Psi.,Psikolog",Psikolog,Aceh,·,,0811-6048-664,,,"https://www.google.com/maps/place/Praktek+Psikolog+Langsa+Dewina+Ulfah+Nasution,+S.Psi.,M.Psi.,Psikolog/data=!4m7!3m6!1s0x30379bcd6c9cc339:0x4652279c3e3442d6!8m2!3d-2.44565!4d117.8888!16s%2Fg%2F11nn56c81q!19sChIJOcOcbM2bNzAR1kI0PpwnUkY?authuser=0&hl=id&rclk=1",Psychologist,2
Klinik Psikologi Seedtosparkle (Seedtosparkle Psychological Centre),Psikolog,Aceh,Jl. Prada Utama No.11,,0811-6841-662,,,https://www.google.com/maps/place/Klinik+Psikologi+Seedtosparkle+%28Seedtosparkle+Psychological+Centre%29/data=!4m7!3m6!1s0x3040376a8d763613:0x96e47641e5951079!8m2!3d5.5716962!4d95.3487201!16s%2Fg%2F11l5v9rvvd!19sChIJEzZ2jWo3QDAReRCV5UF25JY?authuser=0&hl=id&rclk=1,Psychology Clinic,3
"Praktek dr. Cut Nyak Dian, SpKJ",Rumah Sakit Jiwa,Aceh,"H8GX+532 Apotek ANDALUCIA, setelah SMEA PREMIUM, Jl. Teuku Nyak Arief",,0811-681-204,,,"https://www.google.com/maps/place/Praktek+dr.+Cut+Nyak+Dian,+SpKJ/data=!4m7!3m6!1s0x3040373671d655fd:0x443b8093ab40485c!8m2!3d5.575382!4d95.3476316!16s%2Fg%2F11tp691m5c!19sChIJ_VXWcTY3QDARXEhAq5OAO0Q?authuser=0&hl=id&rclk=1",Psychiatric Hospital,4
Assyifa Counseling,Psikoterapis,Aceh,FXH9+FV6,,0822-6734-8781,,,https://www.google.com/maps/place/Assyifa+Counseling/data=!4m7!3m6!1s0x30379bd41b561979:0x2a47130301bd22c7!8m2!3d4.4786736!4d97.969627!16s%2Fg%2F11q8wcqtt3!19sChIJeRlWG9SbNzARxyK9AQMTRyo?authuser=0&hl=id&rclk=1,Mental Health Service,7
"dr. Rina Hastuti, Sp.KJ (Dokter Spesialis Kejiwaan)",Dokter,Aceh,"Apotek Kimia Farma, Jl. Pangeran Diponegoro No.8",,0811-6853-390,,,"https://www.google.com/maps/place/dr.+Rina+Hastuti,+Sp.KJ+%28Dokter+Spesialis+Kejiwaan%29/data=!4m7!3m6!1s0x304037d3b2c721dd:0x4223d28a1aff65f3!8m2!3d5.5537019!4d95.3199822!16s%2Fg%2F11vj77jvbh!19sChIJ3SHHstM3QDAR82X_GorSI0I?authuser=0&hl=id&rclk=1",Mental Health Service,7
Ruang Rawat Jiwa,Klinik Kesehatan Mental,Aceh,"JVP2+GQR, Jl. Sengeda",,,,,https://www.google.com/maps/place/Ruang+Rawat+Jiwa/data=!4m7!3m6!1s0x3038ec6b92b277e9:0x10ba07a67207c96c!8m2!3d4.6363611!4d96.8518936!16s%2Fg%2F11g86z9sr2!19sChIJ6XeykmvsODARbMkHcqYHuhA?authuser=0&hl=id&rclk=1,Mental Health Service,7
"dr. I Gde Yudhi Kurniawan, SpKJ",Psikiater,Bali,Jl. P.B. Sudirman No.1a,1800,0851-1750-0808,,,"https://www.google.com/maps/place/dr.+I+Gde+Yudhi+Kurniawan,+SpKJ/data=!4m7!3m6!1s0x2dd241c60be25fc3:0xa5f4c436858901d3!8m2!3d-8.6738004!4d115.2177276!16s%2Fg%2F11h2hbh3kz!19sChIJw1_iC8ZB0i0R0wGJhTbE9KU?authuser=0&hl=id&rclk=1",Psychiatrist,1
"Praktek dr. Made Sugiharta Jasa SpKJ (K), Psikiater/Psychiatric",Psikiater,Bali,Gg. Merta Gangga No.6,,,,,"https://www.google.com/maps/place/Praktek+dr.+Made+Sugiharta+Jasa+SpKJ+%28K%29,+Psikiater%2FPsychiatric/data=!4m7!3m6!1s0x2dd241abc8f69d77:0x3a35e421e8199eb0!8m2!3d-8.6902781!4d115.1966811!16s%2Fg%2F11tmn3hhs3!19sChIJd532yKtB0i0RsJ4Z6CHkNTo?authuser=0&hl=id&rclk=1",Psychiatrist,1
Denpasar Mental Health Centre (DMHC) and Wellness,Psikiater,Bali,Jl. Padang Gajah Jalan Utara RS Balimed No.8,1200,0896-3820-7300,,,https://www.google.com/maps/place/Denpasar+Mental+Health+Centre+%28DMHC%29+and+Wellness/data=!4m7!3m6!1s0x2dd241ab9bae1d47:0x476847cb4f16b106!8m2!3d-8.6558351!4d115.1911583!16s%2Fg%2F11h4mwdkpf!19sChIJRx2um6tB0i0RBrEWT8tHaEc?authuser=0&hl=id&rclk=1,Psychiatrist,1
"dr. Putu Belly Sutrisna, M.Biomed., SpKJ., S.Kom, PhD",Psikiater,Bali,Jl. Padang Gajah No.8,,,,,"https://www.google.com/maps/place/dr.+Putu+Belly+Sutrisna,+M.Biomed.,+SpKJ.,+S.Kom,+PhD/data=!4m7!3m6!1s0x2dd2414369564dd7:0xf2c2add4ffb7f8c8!8m2!3d-8.6552422!4d115.1917694!16s%2Fg%2F11h7prp7b9!19sChIJ101WaUNB0i0RyPi3_9StwvI?authuser=0&hl=id&rclk=1",Psychiatrist,1
Dian Selaras Psikologi & Hipnoterapi Bali / Praktik Psikologi Mandiri,Psikolog,Bali,·,0800,0812-3711-5409,,,https://www.google.com/maps/place/Dian+Selaras+Psikologi+%26+Hipnoterapi+Bali+%2F+Praktik+Psikologi+Mandiri/data=!4m7!3m6!1s0x2dd240f22b047959:0xb2dba08314aa290!8m2!3d-8.6752372!4d115.2270998!16s%2Fg%2F11cnd6wpkw!19sChIJWXkEK_JA0i0RkKJKMQi6LQs?authuser=0&hl=id&rclk=1,Psychologist,2
"Teduh Jiwa Psikologi Bali, psikolog I Gusti Agung Ayu Yunita Utami",Psikolog,Bali,Jl. Sedap Malam No.90,,0821-4491-6261,,,"https://www.google.com/maps/place/Teduh+Jiwa+Psikologi+Bali,+psikolog+I+Gusti+Agung+Ayu+Yunita+Utami/data=!4m7!3m6!1s0x2dd23fe177a02aef:0xf795c4358f4dc26!8m2!3d-8.6693486!4d115.2508586!16s%2Fg%2F11tmtplvy9!19sChIJ7yqgd-E_0i0RJtz0WENceQ8?authuser=0&hl=id&rclk=1",Psychologist,2
Biro Psikologi & Pusat Tumbuh Kembang Anak Pradnyagama,Psikolog,Bali,Jl. Tukad Yeh Aya No.183,0900,0857-3923-4234,,,https://www.google.com/maps/place/Biro+Psikologi+%26+Pusat+Tumbuh+Kembang+Anak+Pradnyagama/data=!4m7!3m6!1s0x2dd240f72ce5db31:0xaf55c2754b20b325!8m2!3d-8.676963!4d115.240499!16s%2Fg%2F1hm32rs51!19sChIJMdvlLPdA0i0RJbMgS3XCVa8?authuser=0&hl=id&rclk=1,Psychologist,2
Bali Psikologi,Klinik Kesehatan Mental,Bali,Jl. Gunung Talang No.70,1600,0896-8888-2023,,,https://www.google.com/maps/place/Bali+Psikologi/data=!4m7!3m6!1s0x2dd2474e3a096fed:0x41efeb99d0702066!8m2!3d-8.6751468!4d115.1884351!16s%2Fg%2F11v4391qb6!19sChIJ7W8JOk5H0i0RZiBw0Jnr70E?authuser=0&hl=id&rclk=1,Psychologist,2
Praktek Psikolog Galang Dharma dan Sri Wiraswati,Psikolog,Bali,Jl. Dewi Madri VIII No.5,1000,0897-0832-042,,,https://www.google.com/maps/place/Praktek+Psikolog+Galang+Dharma+dan+Sri+Wiraswati/data=!4m7!3m6!1s0x2dd241e7cde93819:0x73440b0da62ddaa2!8m2!3d-8.6636551!4d115.2358463!16s%2Fg%2F11fjvjlj5w!19sChIJGTjpzedB0i0Rototpg0LRHM?authuser=0&hl=id&rclk=1,Psychologist,2
LETICIA WELLNESS CENTER 1 - Praktik Psikolog Klinis - Hipnoterapi dan konseling psikologi Denpasar Bali ( LWC ),Psikoterapis,Bali,Jl. Gn. Agung No.9B,0900,0819-9049-9990,,,https://www.google.com/maps/place/LETICIA+WELLNESS+CENTER+1+-+Praktik+Psikolog+Klinis+-+Hipnoterapi+dan+konseling+psikologi+Denpasar+Bali+%28+LWC+%29/data=!4m7!3m6!1s0x2dd23f950dba138f:0x876abb9ffe923fc4!8m2!3d-8.6504343!4d115.1914968!16s%2Fg%2F11jk4fjpdj!19sChIJjxO6DZU_0i0RxD-S_p-7aoc?authuser=0&hl=id&rclk=1,Psychologist,2
Layanan Psikolog Bintang Praba Dewi,Psikolog,Bali,Jl. Raya Padang Luwih,,0817-9700-162,,,https://www.google.com/maps/place/Layanan+Psikolog+Bintang+Praba+Dewi/data=!4m7!3m6!1s0x2dd2399e0face861:0x921c48ff9761cd8a!8m2!3d-8.6366251!4d115.174891!16s%2Fg%2F11rknl200_!19sChIJYeisD5450i0Ris1hl_9IHJI?authuser=0&hl=id&rclk=1,Psychologist,2
Praktek Psikolog Indonesia Cabang Bali,Psikolog,Bali,"Puco Rooftop, Gg. Pratama No.1A",2200,0878-8718-4585,,,https://www.google.com/maps/place/Praktek+Psikolog+Indonesia+Cabang+Bali/data=!4m7!3m6!1s0x2dd2453c338519ef:0x517a51bb6d09b4d1!8m2!3d-8.6389731!4d115.151284!16s%2Fg%2F11ts388xdk!19sChIJ7xmFMzxF0i0R0bQJbbtRelE?authuser=0&hl=id&rclk=1,Psychologist,2
"Biro Psikologi, Riset & Pengembangan SDM, AGET Development (Psikologi, Teambuilding, Pelatihan Karyawan, Enumerator, Riset)",Psikolog,Bali,Jl. Kepundung No.12,1200,0822-1012-6118,,,"https://www.google.com/maps/place/Biro+Psikologi,+Riset+%26+Pengembangan+SDM,+AGET+Development+%28Psikologi,+Teambuilding,+Pelatihan+Karyawan,+Enumerator,+Riset%29/data=!4m7!3m6!1s0x2dd2416c2bcbbe25:0x589b6a7247649494!8m2!3d-8.655076!4d115.2203603!16s%2Fg%2F11jk5q2_yv!19sChIJJb7LK2xB0i0RlJRkR3Jqm1g?authuser=0&hl=id&rclk=1",Psychologist,2
Griya. Psikologi,Psikolog Anak,Bali,·,5248,0822-2149-2203,,,https://www.google.com/maps/place/Griya.+Psikologi/data=!4m7!3m6!1s0x2dd23fd9a4800117:0xb8d7ab2ba20613f1!8m2!3d-8.6440382!4d115.2303777!16s%2Fg%2F11h3bgvms4!19sChIJFwGApNk_0i0R8RMGoiur17g?authuser=0&hl=id&rclk=1,Psychologist,2
LETICIA WELLNESS CENTER 2 - Praktik Psikolog klinis - Hipnoterapi dan konseling psikologi ( LWC-2 ),Klinik Kesehatan Mental,Bali,"sebelah resto ayam JFC, Jl. Raya Kesambi No.9",,0819-9049-9990,,,https://www.google.com/maps/place/LETICIA+WELLNESS+CENTER+2+-+Praktik+Psikolog+klinis+-+Hipnoterapi+dan+konseling+psikologi+%28+LWC-2+%29/data=!4m7!3m6!1s0x2dd247b0bbb07539:0x66cf21eaea885b23!8m2!3d-8.6528475!4d115.1722731!16s%2Fg%2F11s0jgb945!19sChIJOXWwu7BH0i0RI1uI6uohz2Y?authuser=0&hl=id&rclk=1,Psychologist,2
"Praktek Psikolog Ilham Dewi S. Psi, Psikolog",Psikolog,Bali,Jl. Trijata No.38,,0812-3607-479,,,"https://www.google.com/maps/place/Praktek+Psikolog+Ilham+Dewi+S.+Psi,+Psikolog/data=!4m7!3m6!1s0x2dd23f634bfec31d:0x6d4e608a47dd366d!8m2!3d-8.6453929!4d115.2242229!16s%2Fg%2F11f126_zvm!19sChIJHcP-S2M_0i0RbTbdR4pgTm0?authuser=0&hl=id&rclk=1",Psychologist,2
Praktek Psikolog Yuli Pratiwi (p.i consulting),Psikolog,Bali,Gg. 100 No.1,1700,0857-3851-0688,,,https://www.google.com/maps/place/Praktek+Psikolog+Yuli+Pratiwi+%28p.i+consulting%29/data=!4m7!3m6!1s0x2dd241083215f7f1:0x61cdf9b21d01073!8m2!3d-8.6721528!4d115.2022915!16s%2Fg%2F11sm51zlwj!19sChIJ8fcVMghB0i0RcxDQIZvfHAY?authuser=0&hl=id&rclk=1,Psychologist,2
"Made Padma Dewi Bajirani, M. Psi, Psikolog",Psikolog,Bali,Jl. Melati No.1,1800,0811-3897-279,,,"https://www.google.com/maps/place/Made+Padma+Dewi+Bajirani,+M.+Psi,+Psikolog/data=!4m7!3m6!1s0x2dd2418fd7771431:0x306b95c442fc7033!8m2!3d-8.6562332!4d115.221915!16s%2Fg%2F11v03ylrpy!19sChIJMRR3149B0i0RM3D8QsSVazA?authuser=0&hl=id&rclk=1",Psychologist,2
Pradnyagama Gatsu,Psikolog,Bali,·,0900,0813-3918-7058,,,https://www.google.com/maps/place/Pradnyagama+Gatsu/data=!4m7!3m6!1s0x2dd23f8a46f25f15:0x88d01dd682b00d5b!8m2!3d-8.6371478!4d115.2151997!16s%2Fg%2F11g69hdm2l!19sChIJFV_yRoo_0i0RWw2wgtYd0Ig?authuser=0&hl=id&rclk=1,Psychologist,2
Ankara - Pusat Layanan Psikologi,Psikolog,Bali,"Gg. 18x No.6, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80225",,0853-3789-8283,,,https://www.google.com/maps/place/Ankara+-+Pusat+Layanan+Psikologi/data=!4m7!3m6!1s0x2dd24191fc442a55:0x7d993e159371daff!8m2!3d-8.6843938!4d115.2219677!16s%2Fg%2F11t0pz7yg4!19sChIJVSpE_JFB0i0R_9pxkxU-mX0?authuser=0&hl=id&rclk=1,Psychologist,2
PRADNYAGAMA GIANYAR,Psikolog,Bali,"Jl. Bay Pass Dharma Giri, Desa Bitera, Sebelah Utara Pengadilan Agama",0900,0819-3662-5110,,,https://www.google.com/maps/place/PRADNYAGAMA+GIANYAR/data=!4m7!3m6!1s0x2dd21745771be867:0xd7789ae53aaa4c4a!8m2!3d-8.5466305!4d115.3145518!16s%2Fg%2F11j23_6m3b!19sChIJZ-gbd0UX0i0RSkyqOuWaeNc?authuser=0&hl=id&rclk=1,Psychologist,2
Relive Psychological Service Center,Psikolog,Bali,Jl. Nuansa Utama No.6x,,0878-4090-1703,,,https://www.google.com/maps/place/Relive+Psychological+Service+Center/data=!4m7!3m6!1s0x2dd2452622689aa1:0xfca2b2fb85d75a6f!8m2!3d-8.7999975!4d115.1851802!16s%2Fg%2F11kb_8xcjp!19sChIJoZpoIiZF0i0Rb1rXhfuyovw?authuser=0&hl=id&rclk=1,Psychologist,2
Biro Psikologi Rumah Tumbuh Psychological Center,Psikolog,Bali,Jl. Tukad Ayung No.39,,0851-3443-3822,,,https://www.google.com/maps/place/Biro+Psikologi+Rumah+Tumbuh+Psychological+Center/data=!4m7!3m6!1s0x6c9aa48171b578d9:0x520690f3b136b183!8m2!3d-8.675246!4d115.2362318!16s%2Fg%2F11yckc3sxs!19sChIJ2Xi1cYGkmmwRg7E2sfOQBlI?authuser=0&hl=id&rclk=1,Psychologist,2
Pradnyagama Sempidi,Psikolog,Bali,Jl. Raya Sempidi Br. Umegunung Sempidi No.23,0900,0853-3842-0978,,,https://www.google.com/maps/place/Pradnyagama+Sempidi/data=!4m7!3m6!1s0x2dd239f3f7112507:0xd460bdb6e11f1a0e!8m2!3d-8.6088452!4d115.1812138!16s%2Fg%2F11rdbt9pg1!19sChIJByUR9_M50i0RDhof4ba9YNQ?authuser=0&hl=id&rclk=1,Psychologist,2
"Praktik Psikolog Titut Esti Koeswardani, M.Psi., Psikolog",Psikolog,Bali,Perumahan Graha Karangasem Residence Blok B1 Jl. Veteran Bypass Jalur 11,1500,0895-3859-32921,,,"https://www.google.com/maps/place/Praktik+Psikolog+Titut+Esti+Koeswardani,+M.Psi.,+Psikolog/data=!4m7!3m6!1s0x2dd207f78c6ccba3:0x677a27e831b407ff!8m2!3d-8.4438674!4d115.5882653!16s%2Fg%2F11s7lqrjz5!19sChIJo8tsjPcH0i0R_we0Megnemc?authuser=0&hl=id&rclk=1",Psychologist,2
"Ni Luh Rasmin, S.Psi., M.Psi., Psikolog, CRT, CHt & Hipnoterapi",Psikoterapis,Bali,Jl. Padang Gajah No.8,,0851-0374-0808,,,"https://www.google.com/maps/place/Ni+Luh+Rasmin,+S.Psi.,+M.Psi.,+Psikolog,+CRT,+CHt+%26+Hipnoterapi/data=!4m7!3m6!1s0x2dd241bd777ce401:0x9add9df36b9baade!8m2!3d-8.6558468!4d115.191177!16s%2Fg%2F11v6xgmnrk!19sChIJAeR8d71B0i0R3qqba_Od3Zo?authuser=0&hl=id&rclk=1",Psychologist,2
Biro Pisikologi Dasa Bratha,Psikolog,Bali,"Perum Pratama, Jl. Gatot Subroto I No.58B",,(0361) 8450187,,,https://www.google.com/maps/place/Biro+Pisikologi+Dasa+Bratha/data=!4m7!3m6!1s0x2dd23f6cd7d27203:0xe86a283dec442e7d!8m2!3d-8.6298914!4d115.2217944!16s%2Fg%2F1pzt9849k!19sChIJA3LS12w_0i0RfS5E7D0oaug?authuser=0&hl=id&rclk=1,Psychologist,2
"Praktek Psikologi ""Teduh Jiwa""",Psikolog,Bali,Jl. Sedap Malam No.90,,0821-4491-6261,,,https://www.google.com/maps/place/Praktek+Psikologi+%22Teduh+Jiwa%22/data=!4m7!3m6!1s0x2dd23f63830ffd05:0xfffb2e35c143edfe!8m2!3d-8.6693486!4d115.2508586!16s%2Fg%2F11k51zflqf!19sChIJBf0Pg2M_0i0R_u1DwTUu-_8?authuser=0&hl=id&rclk=1,Psychologist,2
Ni Ketut Jeni Adhi Psikolog (Tema Insani),Psikolog,Bali,Gg. III No.16,,0812-3961-4056,,,https://www.google.com/maps/place/Ni+Ketut+Jeni+Adhi+Psikolog+%28Tema+Insani%29/data=!4m7!3m6!1s0x2dd23b5a124cdf6f:0xc652f85cba9b1caa!8m2!3d-8.5375936!4d115.1327132!16s%2Fg%2F11hdj9xn02!19sChIJb99MElo70i0Rqhybulz4UsY?authuser=0&hl=id&rclk=1,Psychologist,2
Psiko Udayana Learning Center,Psikolog,Bali,Jl. Veteran No.5,,(0361) 244957,,,https://www.google.com/maps/place/Psiko+Udayana+Learning+Center/data=!4m7!3m6!1s0x2dd2409ec129a6ab:0x36e1338f4ab6073b!8m2!3d-8.6540116!4d115.2168799!16s%2Fg%2F11fy_pspv2!19sChIJq6YpwZ5A0i0ROwe2So8z4TY?authuser=0&hl=id&rclk=1,Psychologist,2
Lembaga Psikologi Terapan Bahagia,Psikolog,Bali,Jl. Tunggul Ametung III A No.9,,0811-389-417,,,https://www.google.com/maps/place/Lembaga+Psikologi+Terapan+Bahagia/data=!4m7!3m6!1s0x2dd23f3b9c74aea7:0x8794e093adb0ad6b!8m2!3d-8.6237065!4d115.2056567!16s%2Fg%2F1pzvnzh7b!19sChIJp650nDs_0i0Ra62wrZPglIc?authuser=0&hl=id&rclk=1,Psychologist,2
Preema Psikologi,Psikolog,Bali,Jl. Brigjen Ngurah Rai No.18,,0823-4147-9469,,,https://www.google.com/maps/place/Preema+Psikologi/data=!4m7!3m6!1s0x2dd2196a2dd444fd:0x12744e8f93481573!8m2!3d-8.4593596!4d115.3526396!16s%2Fg%2F11h4pwt0wq!19sChIJ_UTULWoZ0i0RcxVIk49OdBI?authuser=0&hl=id&rclk=1,Psychologist,2
(Praktik Psikolog Denpasar),Psikolog,Bali,Jl. Tukad Musi No.17A,,,,,https://www.google.com/maps/place/%28Praktik+Psikolog+Denpasar%29/data=!4m7!3m6!1s0x2dd24147449c01d3:0x8ec092567cbd3e71!8m2!3d-8.6759424!4d115.2302677!16s%2Fg%2F11h76593vm!19sChIJ0wGcREdB0i0RcT69fFaSwI4?authuser=0&hl=id&rclk=1,Psychologist,2
Griya Psikologi/Bunda Kita Daycare Denpasar,Psikolog Anak,Bali,Jl. Kenyeri No.52,,0822-2149-2203,,,https://www.google.com/maps/place/Griya+Psikologi%2FBunda+Kita+Daycare+Denpasar/data=!4m7!3m6!1s0x2dd23fd7ad3603e5:0xc92a35acd25ab0a1!8m2!3d-8.6439927!4d115.230415!16s%2Fg%2F11fjtn_dl3!19sChIJ5QM2rdc_0i0RobBa0qw1Ksk?authuser=0&hl=id&rclk=1,Psychologist,2
"Praktek Psikologi Drs. Mad Basri, Psikolog",Klinik Medis,Bali,"G9M3+342, Jl. Brigjen Ngurah Rai",,,,,"https://www.google.com/maps/place/Praktek+Psikologi+Drs.+Mad+Basri,+Psikolog/data=!4m7!3m6!1s0x2dd219c2e8eb821b:0xdb274cb4b79f56a2!8m2!3d-8.4673598!4d115.3527541!16s%2Fg%2F11vwgp0pc3!19sChIJG4Lr6MIZ0i0Rolaft7RMJ9s?authuser=0&hl=id&rclk=1",Psychologist,2
"Psikolog Ilham Dewi Sukamembah, S. Psi.",Psikolog,Bali,"F46M+7CW, Jl. Ks. Tubun",,,,,"https://www.google.com/maps/place/Psikolog+Ilham+Dewi+Sukamembah,+S.+Psi./data=!4m7!3m6!1s0x2dd23a56cc444c91:0xcc83bb2d139eb43d!8m2!3d-8.5392718!4d115.1335825!16s%2Fg%2F11fzb1d7mg!19sChIJkUxEzFY60i0RPbSeEy27g8w?authuser=0&hl=id&rclk=1",Psychologist,2
